"Index","Venue.ID","Cluster.ID","Event.Lon","Event.Lat"
"65",64,1267847,0,-80.081696,40.584347
"66",65,24077799,5,-79.920715,40.452885
"67",66,754565,7,-80.020084,40.451172
"68",67,23995722,0,-79.965309,40.427784
"69",68,23612354,5,-79.666946,40.455193
"70",69,23883039,5,-79.984566,40.429131
"71",70,1450785,5,-80.158007,40.448456
"72",71,1254629,3,-79.943,40.450757
"73",72,558189,5,-79.92682,40.46045
"74",73,1122073,5,-79.97662,40.420841
"75",74,15597412,5,-79.923264,40.433186
"76",75,978650,5,-79.95681,40.441555
"77",76,12921352,5,-80.204437,40.282993
"78",77,731596,5,-79.930554,40.459939
"79",78,938297,5,-80.065841,40.312354
"80",79,24102008,5,-80.179184,40.457462
"81",80,24075973,5,-80.17587,40.451733
"82",81,23736080,5,-80.21772,40.520031
"83",82,13254552,5,-80.162399,40.277706
"84",83,822670,5,-80.16129,40.448326
"85",84,24104397,5,-80.054298,40.632034
"86",85,23769367,5,-80.05677,40.633598
"87",86,835698,5,-80.160244,40.455791
"88",87,1594958,5,-80.007385,40.539204
"89",88,6838692,5,-79.995888,40.440624
"90",89,1015384,5,-79.811892,40.428055
"91",90,22170312,5,-80.031731,40.409874
"92",91,23704317,5,-79.940247,40.633209
"93",92,20348552,5,-79.709923,40.646149
"94",93,570488,5,-80.050385,40.355923
"95",94,24018257,5,-79.891785,40.487
"96",95,23530350,5,0,0
"97",96,23949897,5,-79.979324,40.428879
"98",97,889145,0,-80.076578,40.521193
"99",98,23704137,5,-79.944771,40.619308
"100",99,18444232,5,-79.933891,40.660416
"101",100,23964667,5,-80.051872,40.357716
"102",101,23530353,5,-80.223083,40.508793
"103",102,23703940,5,-79.96505,40.465736
"104",103,856403,5,-79.772346,40.437237
"105",104,1403851,5,-80.085305,40.40823
"106",105,9126032,0,-79.951599,40.482544
"107",106,16266372,5,-79.879776,40.513401
"108",107,21776612,5,-79.910728,40.52663
"109",108,1584182,5,-79.925491,40.451275
"110",109,783159,5,-79.894225,40.433416
"111",110,814077,0,-79.899214,40.455284
"112",111,6229922,5,-79.998558,40.442795
"113",112,674849,5,-79.95312,40.455513
"114",113,1054771,5,-80.035239,40.39618
"115",114,4869282,5,-80.03524,40.396179
"116",115,9877572,5,-79.889725,40.488403
"117",116,9084142,5,-79.941574,40.443504
"118",117,23740790,5,-79.960838,40.469887
"119",118,335676,5,-80.18604,40.491043
"120",119,1055186,1,-80.043927,40.397388
"121",120,969027,0,-79.997589,40.292603
"122",121,674839,0,-80.079155,40.522995
"123",122,836419,5,-79.919512,40.406871
"124",123,6814352,0,-80.029968,40.583481
"125",124,8350162,0,-79.911003,40.569515
"126",125,24044351,5,-80.169502,40.391678
"127",126,689526,4,-80.013532,40.445305
"128",127,1092762,1,-80.006336,40.374626
"129",128,17111332,5,-79.986343,40.327496
"130",129,14048792,5,-80.003166,40.445183
"131",130,4971712,0,-79.96505,40.428066
"132",131,24053586,0,-80.08183,40.584385
"133",132,23781324,5,-80.035248,40.396339
"134",133,11892872,5,-79.949791,40.434441
"135",134,14516412,4,-80.018555,40.438122
"136",135,10654802,6,-79.98497,40.451527
"137",136,23826462,7,-80.000488,40.443779
"138",137,1308714,5,-79.94216,40.431979
"139",138,24131401,5,-79.985535,40.450741
