id,venue,lat,lon,neighborhood
66,Pittsburgh Public Theater,40.443027,-80.00106,
67,Heritage Valley Sewickley,40.543304,-80.177643,
68,Cost Center,40.4474352,-79.9597794,Terrace Village
69,The Avenue Theater,40.700504,-80.28228,
70,Eat N Park ,40.4492,-80.163345,
71,McLaughlin Run Road Recreation Center Room,40.335861,-80.074348,
72,Pair Networks,40.429848,-79.969833,South Side Slopes
73,Youtopia dance studio,40.435703,-79.922905,Squirrel Hill South
74,Youtopia dance studio,40.435703,-79.922905,Squirrel Hill South
75,Friends House,40.449139,-79.945808,North Oakland
76,21st Street Coffee and Tea,40.451702,-79.984444,Strip District
77,TurnOn Pittsburgh,40.45903,-79.923882,Shadyside
78,Harris Theater,40.442879,-79.998611,
79,Galleria,40.356956,-80.05043,
80,Quantum Counseling Services,40.692699,-80.105698,
81,Moon Township Public Library,40.475914,-80.174187,
82,Quantum Counseling Services,40.692699,-80.105698,
83,Jacksons Restaurant,40.508793,-80.223083,
84,La Roche College,40.568439,-80.012024,
85,Summa,40.460442,-79.926735,Shadyside
86,Immaculate Heart of Mary Church,40.456392,-79.967908,Strip District
87,St Nicholas Serbian Orthodox,40.404789,-79.757034,
88,Swisshelm Park Community Center,40.424454,-79.90132,Swisshelm Park
89,Family Restaurant ,40.384995,-79.978584,Overbrook
90,Family Restaurant ,40.384995,-79.978584,Overbrook
91,Family Restaurant ,40.384995,-79.978584,Overbrook
92,Game Masters,40.541824,-80.02695,
93,Animal Friends,40.522995,-80.079155,
94,CAVO Pittsburgh ,40.451527,-79.98497,Strip District
95,Online Event,40.440624,-79.995888,
96,Rocky s Route 8,40.543961,-79.963013,
97,Allegheny Center Alliance Church,40.453106,-80.003494,Allegheny West
98,Mt Lebanon Tennis Center,40.374264,-80.057274,
99,Future Tenant,40.443642,-79.998665,Central Business District
100,Smithfield and Blvd of Allies Garage,40.437782,-80.00016,Mount Washington
101,Smithfield and Blvd of Allies Garage,40.437782,-80.00016,Mount Washington
102,The Triplex,40.4557,-79.895767,Point Breeze North
103,Beechwood Farms Nature Reserve,40.542927,-79.909286,
104,Performance Bicycle,40.458889,-79.917595,Shadyside
105,Casa de Cardentey,40.705158,-79.983467,
106,First Unitarian Church,40.450757,-79.943,North Oakland
107,Embassy Suites,40.495162,-80.205357,
108,Coffee Tree Roaster Meeting Room Shadyside,40.451405,-79.932838,Squirrel Hill North
109,Christ Church at Grove Farm,40.552092,-80.111189,
110,Northland Public Library,40.571003,-80.034645,
111,Crazy Mocha,40.433531,-79.923204,Greenfield
112,Schenley Oval Sportsplex,40.431979,-79.94216,Greenfield
113,L.L.Bean Store at Ross Park Mall,40.54268,-80.00944,
114,Smiling Moose,40.428715,-79.984962,Allentown
115,Smiling Moose,40.428715,-79.984962,Allentown
116,Kings Family Restaurants,40.616222,-80.093391,
117,Kings Family Restaurant,40.617134,-80.093559,
118,Phoenix 18,40.366787,-80.106682,
119,Schwartz Market,40.428825,-79.98455,Allentown
120,Schwartz Market,40.429133,-79.984559,Allentown
121,Game Masters,40.541824,-80.02695,
122,First Unitarian Church,40.450757,-79.943,North Oakland
123,Panera Bread,40.436432,-79.958084,
124,Hartwood Acres Park - Middle Road Parking Lot,40.570553,-79.927246,
125,Crazy Mocha,40.682093,-80.12342,
126,Peter s Pub,40.441841,-79.957336,West Oakland
127,Carnegie Library of Pittsburgh - East Liberty,40.460835,-79.926414,Shadyside
128,Carnegie Library of Pittsburgh - Downtown and Business Branch,40.44175,-79.99752,
129,Claddagh Irish Pub,40.428202,-79.964952,South Side Slopes
130,mad mex,40.458241,-79.92527,Shadyside
131,Soldiers and Sailors Hall,40.444292,-79.955443,West Oakland
132,Mad Mex,40.458237,-79.925461,Shadyside
133,Mad Mex,40.458237,-79.925461,Shadyside
134,Mad Mex Shadyside,40.458221,-79.925133,Shadyside
135,Thunderbird Cafe,40.469284,-79.961594,Lower Lawrenceville
136,The New Bohemian,40.452686,-79.993263,North Shore
137,The Big Idea Cooperative Bookstore and Cafe,40.46014,-79.946754,Upper Hill
138,Millvale Community Center,40.480885,-79.972717,
139,Eighty Acres,40.451435,-79.714752,
140,Westmoreland Gaming Sportscards and Comics,40.3134036,-79.3895681,
141,Lynch Field,40.258644,-79.571187,
142,Carnegie Library Main (Oakland),40.444139,-79.949267,Central Oakland
143,Squirrel Hill Library Rm. B,40.438122,-79.922546,Squirrel Hill South
144,Carnegie Library Squirrel Hill,40.438137,-79.922536,Squirrel Hill South
145,The Inn on Negley,40.453358,-79.931458,Shadyside
146,Carnegie Library Squirrel Hill,40.438137,-79.922536,Squirrel Hill South
147,Piper s Pub,40.428591,-79.979517,South Side Slopes
148,Carnegie Library Squirrel Hill,40.438137,-79.922536,Squirrel Hill South
149,Papa J s Ristorante,40.40823,-80.085305,
150,Skibo Small Gym,40.441628,-79.941551,Central Oakland
151,Crazy Mocha Coffee Company,40.426212,-79.965431,South Side Slopes
152,Brew on Broadway,40.410015,-80.024681,Beechview
153,Arcade Comedy Theater,40.4430326,-79.998586,
154,Arcade Comedy Theater,40.4430326,-79.998586,
155,Yoga Digs ,40.428734,-79.986038,Allentown
156,Zeke s Coffee,40.461357,-79.924568,Shadyside
157,2100 Mosside Boulevard ,40.423576,-79.760391,
158,Wilkins School Community Center,40.430318,-79.893478,Swisshelm Park
159,Temple Baptist Church,40.408634,-79.99115,Bon Air
160,Row House Cinema,40.469887,-79.960838,Lower Lawrenceville
161,Row House Cinema,40.469887,-79.960838,Lower Lawrenceville
162,725 Fisher Hall - Duquesne University,40.437618,-79.989601,
163,Quantum Counseling Services,40.692699,-80.105698,
164,Primanti Brothers,40.438511,-79.776917,
165,Cadillac Ranch ,40.423784,-80.041341,
166,Unitarian Universalist Church of North Hills,40.584347,-80.081696,
167,Cadilac Ranch,40.458056,-80.128333,
168,CRAFTON - INGRAM LANES,40.435069,-80.066166,
169,Pugliano s Italian Grill,40.447395,-79.71302,
170,Aladdins Eatery,40.513401,-79.879776,
171,Frick Fine Arts Auditorium,40.444595,-79.959839,Terrace Village
172,Jacktown Ride and Hunt Club,40.3297,-79.733032,
173,Jacktown Ride and Hunt Club,40.3297,-79.733032,
174,Andrew Carnegie Free Library and Music Hall,40.406994,-80.085823,
175,En Garde Fencing Club ,40.496241,-79.94392,
176,Panera Bread - Bakery Square,40.456543,-79.915108,Squirrel Hill North
177,StartUpTown,40.437489,-79.9814,
178,En Garde Fencing Club ,40.496241,-79.94392,
179,Beechwood Farms Nature Reserve,40.542927,-79.909225,
180,Sharp Edge Beer Emporium,40.459939,-79.930554,Shadyside
181,Cathedral of Learning (by the 1st floor Elevators),40.444649,-79.952599,West Oakland
182,Greater Pittsburgh Masonic Center,40.528487,-80.143122,
183,Cruze Bar,40.449604,-79.987617,Central Business District
184,the Rex Theatre,40.428688,-79.98246,Allentown
185,Upper St. Clair Library,40.335259,-80.073258,
186,Volunteers of America,40.494747,-79.923813,Morningside
187,Wilkins School Community Center,40.430318,-79.893478,Swisshelm Park
188,Getaway Cafe,40.384331,-80.015935,
189,Regional Learning Alliance at Cranberry Woods,40.673447,-80.088402,
190,Temple Baptist Church,40.408634,-79.99115,Bon Air
191,Sparkledragon s Magical Emporium,40.404533,-80.033188,
192,Panera,40.436432,-79.958084,
193,Tera Switch Networks,40.450432,-80.019455,
