19, Free Concert Hartwood Acres-Pittsburgh Ballet Theatre,40.569818,-79.928058,,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Hampton township,Allegheny County
20, BREW's Uncommon Game Nite!,40.410015,-80.024681,Beechview,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Pittsburgh city,Allegheny County
21, Free Concert South Park: Paul Luc and The Commonheart,40.290488,-80.007857,,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",South Park township,Allegheny County
22, Lunch and Learn Films: The Vaccine War,40.44175,-79.99752,Central Business District,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Pittsburgh city,Allegheny County
23, Preventing Alzheimer's: What New Research is Telling Us,40.44175,-79.99752,Central Business District,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Pittsburgh city,Allegheny County
24, Summer Daze Festival! South Hills Castle Shannon!,40.365307,-80.017593,,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Castle Shannon borough,Allegheny County
25, LAWRENCEVILLE's FREE MUSIC FESTIVAL: R.A.N.T.,40.46793,-79.96139,Lower Lawrenceville,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Pittsburgh city,Allegheny County
26, Free screening of the movie Persepolis banned in Iran,40.457176,-80.011147,Central Northside,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Pittsburgh city,Allegheny County
27, Free Concert South Park: Southside Johnny & The Asbury Jukes wJoe Grushecky,40.302334,-79.995415,,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",South Park township,Allegheny County
28, India Day 2015: Celebrating Innovation Development Achievement,40.436726,-79.959778,South Oakland,"Pittsburgh, PA","Pittsburgh-New Castle-Weirton, PA-OH-WV",Pittsburgh city,Allegheny County
