224207429,game,games,field
224207438,university,new,learn
224207573,university,new,learn
224207598,university,new,learn
224207755,game,games,field
224207891,university,new,learn
224207929,university,new,learn
224207943,please,water,river
224208034,event,bring,one
224208417,event,healing,life
224213324,please,water,river
224213884,wait,members,pm
224213980,film,black,festival
224221328,pm,happy,hour
224223023,wait,members,pm
224223381,pm,happy,hour
224223457,pm,happy,hour
224228582,pm,happy,hour
224249576,meetings,blur,contest
224256626,please,water,river
224258634,game,games,field
224259555,dance,free,salsa
224261079,bring,us,join
224265510,film,black,festival
224269782,tickets,show,ticket
224270298,tickets,show,ticket
224270324,tickets,show,ticket
224285734,concert,music,jazz
224290857,pm,food,event
224307150,wait,members,pm
224319829,university,new,learn
224320058,please,also,visit
224333684,show,tickets,comedy
224334292,dance,free,salsa
224335144,park,august,pm
224340168,church,st,mass
224340276,park,august,pm
224340281,dance,free,salsa
224348286,event,healing,life
224352068,pm,happy,hour
224365666,event,healing,life
224366025,university,new,learn
224374595,please,also,visit
224378735,film,black,festival
224383982,please,also,visit
224384596,event,bring,one
224389313,please,also,visit
224392030,pm,happy,hour
224398770,dance,free,salsa
224430699,please,water,river
224450381,us,first,bring
224450385,work,beginners,welcome
224450505,film,black,festival
224450835,game,games,field
224465418,pm,food,event
224471881,work,beginners,welcome
224477760,event,healing,life
224477801,please,water,river
224477985,please,also,visit
224478354,show,tickets,comedy
224478844,film,black,festival
224481211,tickets,show,ticket
224520456,show,tickets,comedy
224527342,game,games,field
224531545,please,also,visit
224534567,event,bring,one
224538020,us,first,bring
224539356,event,bring,one
224539409,event,bring,one
224539558,event,bring,one
224539771,event,bring,one
224544644,pm,happy,hour
224544750,event,bring,one
224561566,dance,free,salsa
224564093,park,august,pm
224566420,session,class,good
224573904,pm,food,event
224584838,event,healing,life
224584892,event,healing,life
224584925,event,healing,life
224592256,work,beginners,welcome
224593223,event,healing,life
224595296,session,class,good
224597928,please,also,visit
224597977,game,games,field
224598641,concert,music,jazz
224599580,pm,food,event
224599619,pm,food,event
224606430,event,bring,one
224606838,event,bring,one
224616094,film,black,festival
224617187,event,healing,life
224618264,pm,food,event
224622867,event,healing,life
224631814,game,games,field
224631944,game,games,field
224648306,please,also,visit
224651792,us,first,bring
224656545,park,august,pm
224657605,game,games,field
224660604,vegan,raw,free
224667019,event,healing,life
224673498,pm,happy,hour
224682746,film,black,festival
224683262,please,water,river
224687841,university,new,learn
224687948,film,black,festival
224687993,concert,music,jazz
224689447,session,class,good
224693238,wait,members,pm
224695599,pm,happy,hour
224695688,pm,happy,hour
224696961,please,water,river
224697123,church,st,mass
224697255,church,st,mass
224709559,pm,happy,hour
224709591,event,healing,life
224713520,concert,music,jazz
224713543,concert,music,jazz
224713903,university,new,learn
224714993,event,healing,life
224715449,amp,ch,intermediate
224720565,us,first,bring
224721405,dance,free,salsa
224723668,pm,happy,hour
224723904,pm,happy,hour
224724354,pm,food,event
224738306,university,new,learn
224739284,event,healing,life
224740923,lunch,pm,business
224742337,event,healing,life
224743318,park,august,pm
224743482,dance,free,salsa
224744401,please,water,river
224764601,dance,free,salsa
224765594,work,beginners,welcome
224771520,pm,happy,hour
224777453,album,open,fiction
224778909,university,new,learn
224783569,prizes,free,key
224783604,prizes,free,key
224794292,dance,free,salsa
224796224,dance,free,salsa
224809728,pm,food,event
224810004,dance,free,salsa
224810298,park,august,pm
224810389,law,people,grand
224812639,pm,happy,hour
224815943,film,black,festival
224819080,game,games,field
224823708,please,water,river
224840512,please,water,river
224845511,event,healing,life
224845524,event,healing,life
224846303,class,yoga,classes
224846326,class,yoga,classes
224851859,game,games,field
224855213,pm,happy,hour
224857507,wait,members,pm
224857605,wait,members,pm
224858218,pm,happy,hour
224879205,session,class,good
224879529,work,beginners,welcome
224881609,film,black,festival
