223424913,club,toastmasters,yoga,workshop,indoor,st,night,woman,elks,tennis
223440674,park,tennis,levels,night,hike,moon,morning,workout,pickup,evening
223465348,class,beginner,discussion,discovery,note,tonight,brunch,weekly,steel,intro
223469491,free,dinner,movie,story,museum,future,week,back,sun,meeting
223497756,play,ultimate,learn,scrabble,mass,mob,see,come,lower,oval
223527142,hills,yoga,south,hill,tea,meeting,squirrel,library,north,class
223529636,night,center,open,house,sports,science,art,volleyball,pick,lights
223538687,meeting,monthly,free,august,breakfast,king,first,gathering,clinic,parks
223544536,class,beginner,discussion,discovery,note,tonight,brunch,weekly,steel,intro
223558654,dance,salsa,practice,pattern,level,classes,style,beginner,square,meditation
223573755,class,beginner,discussion,discovery,note,tonight,brunch,weekly,steel,intro
223576078,night,center,open,house,sports,science,art,volleyball,pick,lights
223578214,club,toastmasters,yoga,workshop,indoor,st,night,woman,elks,tennis
223582410,party,ride,show,mt,pub,crawl,costume,game,great,day
223583006,meeting,monthly,free,august,breakfast,king,first,gathering,clinic,parks
223586961,bowling,food,band,dinner,lecture,lanes,right,blue,readings,home
223609933,class,beginner,discussion,discovery,note,tonight,brunch,weekly,steel,intro
223612341,party,business,get,friends,game,ideas,unstuck,fun,restaurant,ages
223613067,class,beginner,discussion,discovery,note,tonight,brunch,weekly,steel,intro
223615163,open,water,aerobics,introduction,free,circle,living,pa,practice,clinic
223622978,open,water,aerobics,introduction,free,circle,living,pa,practice,clinic
223628783,festival,film,vegan,square,screening,book,rivers,holiday,regent,st
223635252,club,toastmasters,yoga,workshop,indoor,st,night,woman,elks,tennis
223635341,festival,film,vegan,square,screening,book,rivers,holiday,regent,st
223644309,festival,film,vegan,square,screening,book,rivers,holiday,regent,st
223651693,meeting,monthly,free,august,breakfast,king,first,gathering,clinic,parks
223652600,club,toastmasters,yoga,workshop,indoor,st,night,woman,elks,tennis
223656136,club,toastmasters,yoga,workshop,indoor,st,night,woman,elks,tennis
223674767,hills,yoga,south,hill,tea,meeting,squirrel,library,north,class
223680883,open,water,aerobics,introduction,free,circle,living,pa,practice,clinic
223688079,bowling,food,band,dinner,lecture,lanes,right,blue,readings,home
223688319,party,holiday,entrepreneur,game,morning,annual,entrepreneurs,talk,night,library
223714286,group,level,study,intermediate,beginner,coffee,support,bible,conversation,cup
223716146,festival,film,vegan,square,screening,book,rivers,holiday,regent,st
223716174,festival,film,vegan,square,screening,book,rivers,holiday,regent,st
223735600,new,day,pizza,year,gaming,fall,market,games,small,time
223736102,free,concert,conversation,coffee,music,jazz,park,walk,tree,beginning
223738597,party,ride,show,mt,pub,crawl,costume,game,great,day
223744728,party,business,get,friends,game,ideas,unstuck,fun,restaurant,ages
223745352,park,tennis,levels,night,hike,moon,morning,workout,pickup,evening
223749701,new,day,pizza,year,gaming,fall,market,games,small,time
223749708,new,day,pizza,year,gaming,fall,market,games,small,time
223762436,hour,happy,comedy,free,dancing,night,saloon,strip,burgh,moon
223770928,bowling,food,band,dinner,lecture,lanes,right,blue,readings,home
223775081,bowling,food,band,dinner,lecture,lanes,right,blue,readings,home
223785168,hills,yoga,south,hill,tea,meeting,squirrel,library,north,class
223785191,new,day,pizza,year,gaming,fall,market,games,small,time
223786267,party,business,get,friends,game,ideas,unstuck,fun,restaurant,ages
223789582,new,day,pizza,year,gaming,fall,market,games,small,time
223793731,club,toastmasters,yoga,workshop,indoor,st,night,woman,elks,tennis
223796745,party,business,get,friends,game,ideas,unstuck,fun,restaurant,ages
223796747,party,business,get,friends,game,ideas,unstuck,fun,restaurant,ages
223796750,party,business,get,friends,game,ideas,unstuck,fun,restaurant,ages
223802970,meeting,monthly,free,august,breakfast,king,first,gathering,clinic,parks
223814159,night,center,open,house,sports,science,art,volleyball,pick,lights
223816275,club,toastmasters,yoga,workshop,indoor,st,night,woman,elks,tennis
223817560,network,lunch,networking,miracles,event,course,quantum,charting,lessons,beginners
223817591,network,lunch,networking,miracles,event,course,quantum,charting,lessons,beginners
223820065,park,tennis,levels,night,hike,moon,morning,workout,pickup,evening
223834208,open,water,aerobics,introduction,free,circle,living,pa,practice,clinic
223835413,open,water,aerobics,introduction,free,circle,living,pa,practice,clinic
223839628,party,business,get,friends,game,ideas,unstuck,fun,restaurant,ages
223841561,meeting,monthly,free,august,breakfast,king,first,gathering,clinic,parks
223847041,party,business,get,friends,game,ideas,unstuck,fun,restaurant,ages
223871244,night,center,open,house,sports,science,art,volleyball,pick,lights
223875838,club,toastmasters,yoga,workshop,indoor,st,night,woman,elks,tennis
223880757,free,concert,conversation,coffee,music,jazz,park,walk,tree,beginning
223885410,new,day,pizza,year,gaming,fall,market,games,small,time
223889426,class,beginner,discussion,discovery,note,tonight,brunch,weekly,steel,intro
223890951,hills,yoga,south,hill,tea,meeting,squirrel,library,north,class
223898098,class,beginner,discussion,discovery,note,tonight,brunch,weekly,steel,intro
223900812,bowling,food,band,dinner,lecture,lanes,right,blue,readings,home
223901014,party,business,get,friends,game,ideas,unstuck,fun,restaurant,ages
223920838,party,business,get,friends,game,ideas,unstuck,fun,restaurant,ages
223923123,free,concert,conversation,coffee,music,jazz,park,walk,tree,beginning
223927310,festival,film,vegan,square,screening,book,rivers,holiday,regent,st
223940130,festival,film,vegan,square,screening,book,rivers,holiday,regent,st
223940456,festival,film,vegan,square,screening,book,rivers,holiday,regent,st
223941124,night,center,open,house,sports,science,art,volleyball,pick,lights
223948965,club,toastmasters,yoga,workshop,indoor,st,night,woman,elks,tennis
223956033,bowling,food,band,dinner,lecture,lanes,right,blue,readings,home
223958580,festival,film,vegan,square,screening,book,rivers,holiday,regent,st
223961887,club,toastmasters,yoga,workshop,indoor,st,night,woman,elks,tennis
223973539,network,lunch,networking,miracles,event,course,quantum,charting,lessons,beginners
223977982,bowling,food,band,dinner,lecture,lanes,right,blue,readings,home
223992811,night,center,open,house,sports,science,art,volleyball,pick,lights
223996210,night,center,open,house,sports,science,art,volleyball,pick,lights
224008671,party,business,get,friends,game,ideas,unstuck,fun,restaurant,ages
