Venue,Month,EID,Topic,Count
17778672,12,qpcgnjytqbqb,workshop,1
17778672,12,qpcgnjytqbqb,night,1
17778672,12,qpcgnjytqbqb,indoor,1
17778672,12,qpcgnjytqbqb,toastmasters,1
17778672,1,qpcgnjyvcbmb,workshop,1
17778672,1,qpcgnjyvcbmb,night,1
17778672,1,qpcgnjyvcbmb,toastmasters,1
17778672,1,qpcgnjyvcbmb,elks,1
17778672,1,qpcgnjyvcbmb,indoor,1
17778672,1,qpcgnjyvcbmb,woman,1
17778672,1,qpcgnjyvcbmb,st,1
17778672,1,qpcgnjyvcbmb,tennis,1
17778672,1,qpcgnjyvcbmb,yoga,1
17778672,1,qpcgnjyvcbmb,club,1
18043902,8,224363043,science,1
18043902,8,224363043,night,1
18043902,8,224363043,center,1
18043902,8,224363043,sports,1
18043902,8,224363043,lights,1
18043902,8,224363043,open,1
18043902,8,224363043,house,1
18043902,8,224363043,volleyball,1
18043902,8,224363043,art,1
18043902,8,224363043,pick,1
18043902,8,224754155,art,1
18043902,8,224754155,pick,1
18043902,8,224754155,lights,1
18043902,8,224754155,center,1
18043902,8,224754155,night,1
18043902,8,224754155,open,1
18043902,8,224754155,science,1
18043902,8,224754155,volleyball,1
18043902,8,224754155,house,1
18043902,8,224754155,sports,1
18043902,9,225029320,lights,1
18043902,9,225029320,open,1
18043902,9,225029320,sports,1
18043902,9,225029320,science,1
18043902,9,225029320,center,1
18043902,9,225029320,house,1
18043902,9,225029320,pick,1
18043902,9,225029320,volleyball,1
18043902,9,225029320,art,1
18043902,9,225029320,night,1
18043902,9,225399626,center,1
18043902,9,225399626,night,1
18043902,9,225399626,pick,1
18043902,9,225399626,lights,1
18043902,9,225399626,volleyball,1
18043902,9,225399626,science,1
18043902,9,225399626,open,1
18043902,9,225399626,house,1
18043902,9,225399626,sports,1
18043902,9,225399626,art,1
18043902,10,225676749,house,1
18043902,10,225676749,pick,1
18043902,10,225676749,night,1
18043902,10,225676749,sports,1
18043902,10,225676749,open,1
18043902,10,225676749,science,1
18043902,10,225676749,center,1
18043902,10,225676749,art,1
18043902,10,225676749,lights,1
18043902,10,225676749,volleyball,1
18043902,10,226150863,night,1
18043902,10,226150863,center,1
18043902,10,226150863,science,1
18043902,10,226150863,art,1
18043902,10,226150863,lights,1
18043902,10,226150863,open,1
18043902,10,226150863,house,1
18043902,10,226150863,sports,1
18043902,10,226150863,volleyball,1
18043902,10,226150863,pick,1
18043902,11,226164125,lights,1
18043902,11,226164125,art,1
18043902,11,226164125,science,1
18043902,11,226164125,volleyball,1
18043902,11,226164125,night,1
18043902,11,226164125,house,1
18043902,11,226164125,sports,1
18043902,11,226164125,center,1
18043902,11,226164125,open,1
18043902,11,226164125,pick,1
18043902,10,226318501,science,1
18043902,10,226318501,art,1
18043902,10,226318501,volleyball,1
18043902,10,226318501,night,1
18043902,10,226318501,center,1
18043902,10,226318501,lights,1
18043902,10,226318501,pick,1
18043902,10,226318501,house,1
18043902,10,226318501,open,1
18043902,10,226318501,sports,1
18043902,11,226803067,center,1
18043902,11,226803067,volleyball,1
18043902,11,226803067,house,1
18043902,11,226803067,pick,1
18043902,11,226803067,night,1
18043902,11,226803067,open,1
18043902,11,226803067,art,1
18043902,11,226803067,lights,1
18043902,11,226803067,science,1
18043902,11,226803067,sports,1
18043902,12,227120480,house,1
18043902,12,227120480,art,1
18043902,12,227120480,night,1
18043902,12,227120480,open,1
18043902,12,227120480,volleyball,1
18043902,12,227120480,pick,1
18043902,12,227120480,science,1
18043902,12,227120480,center,1
18043902,12,227120480,sports,1
18043902,12,227120480,lights,1
18043902,1,227720528,art,1
18043902,1,227720528,lights,1
18043902,1,227720528,volleyball,1
18043902,1,227720528,night,1
18043902,1,227720528,open,1
18043902,1,227720528,science,1
18043902,1,227720528,house,1
18043902,1,227720528,sports,1
18043902,1,227720528,center,1
18043902,1,227720528,pick,1
18043902,1,227994475,pick,1
18043902,1,227994475,center,1
18043902,1,227994475,sports,1
18043902,1,227994475,science,1
18043902,1,227994475,art,1
18043902,1,227994475,lights,1
18043902,1,227994475,volleyball,1
18043902,1,227994475,night,1
18043902,1,227994475,open,1
18043902,1,227994475,house,1
18043902,1,dfjtnlyvcbdc,house,1
18043902,1,dfjtnlyvcbdc,night,1
18043902,1,dfjtnlyvcbdc,volleyball,1
18043902,1,dfjtnlyvcbdc,lights,1
18043902,1,dfjtnlyvcbdc,science,1
18043902,1,dfjtnlyvcbdc,sports,1
18043902,1,dfjtnlyvcbdc,center,1
18043902,1,dfjtnlyvcbdc,open,1
18043902,1,dfjtnlyvcbdc,pick,1
18043902,1,dfjtnlyvcbdc,art,1
18043902,1,dfjtnlyvcbmc,center,1
18043902,1,dfjtnlyvcbmc,open,1
18043902,1,dfjtnlyvcbmc,lights,1
18043902,1,dfjtnlyvcbmc,pick,1
18043902,1,dfjtnlyvcbmc,science,1
18043902,1,dfjtnlyvcbmc,sports,1
18043902,1,dfjtnlyvcbmc,night,1
18043902,1,dfjtnlyvcbmc,house,1
18043902,1,dfjtnlyvcbmc,art,1
18043902,1,dfjtnlyvcbmc,volleyball,1
18225742,8,224158317,library,1
18225742,8,224158317,game,1
18225742,8,224158317,talk,1
18225742,8,224158317,party,1
18225742,8,224158317,holiday,1
18225742,8,224158317,night,1
18225742,8,224158317,entrepreneur,1
18225742,8,224158317,annual,1
18225742,8,224158317,entrepreneurs,1
18225742,8,224158317,morning,1
18225742,8,224597977,library,1
18225742,8,224597977,holiday,1
18225742,8,224597977,morning,1
18225742,8,224597977,talk,1
18225742,8,224597977,night,1
18225742,8,224597977,party,1
18225742,8,224597977,entrepreneur,1
18225742,8,224597977,annual,1
18225742,8,224597977,entrepreneurs,1
18225742,8,224597977,game,1
18225742,9,225467710,entrepreneurs,1
18225742,9,225467710,library,1
18225742,9,225467710,night,1
18225742,9,225467710,annual,1
18225742,9,225467710,entrepreneur,1
18225742,9,225467710,morning,1
18225742,9,225467710,holiday,1
18225742,9,225467710,party,1
18225742,9,225467710,talk,1
18225742,9,225467710,game,1
18225742,10,225685468,annual,1
18225742,10,225685468,holiday,1
18225742,10,225685468,party,1
18225742,10,225685468,entrepreneur,1
18225742,10,225685468,entrepreneurs,1
18225742,10,225685468,library,1
18225742,10,225685468,game,1
18225742,10,225685468,talk,1
18225742,10,225685468,night,1
18225742,10,225685468,morning,1
18864182,10,223714286,conversation,1
18864182,10,223714286,beginner,1
18864182,10,223714286,coffee,1
18864182,10,223714286,group,1
18864182,10,223714286,intermediate,1
18864182,10,223714286,level,1
18864182,10,223714286,support,1
18864182,10,223714286,bible,1
18864182,10,223714286,study,1
18864182,10,223714286,cup,1
19036712,8,qtcqcjytlbjc,ultimate,1
19036712,8,qtcqcjytlbjc,mass,1
19036712,8,qtcqcjytlbjc,learn,1
19036712,8,qtcqcjytlbjc,see,1
19036712,8,qtcqcjytlbjc,come,1
19036712,8,qtcqcjytlbjc,mob,1
19036712,8,qtcqcjytlbjc,oval,1
